,ObjectId,Country,ISO2,ISO3,Indicator,Code,Unit,F2005,F2006,F2007,F2008,F2009,F2010,F2011,F2012,F2013,F2014,F2015,F2016,F2017,F2018,F2019
44,45,Cambodia,KH,KHM,C02 Emissions Embodied in Gross Exports,ECBPDTCETX,Millions of metric tons,1.76,1.961,2.111,2.017,1.85,2.101,2.67,3.035,3.181,3.673,3.485,3.994,4.141,4.112,3.953
45,46,Cambodia,KH,KHM,"C02 Emissions Embodied in Gross Exports, balance",ECBPDTCETB,Millions of metric tons,-3.127,-3.259,-3.242,-2.972,-2.829,-2.824,-3.295,-3.379,-3.672,-3.996,-3.769,-2.981,-3.111,-2.853,-3.45
46,47,Cambodia,KH,KHM,C02 Emissions Embodied in Gross Imports,ECBPDTCETM,Millions of metric tons,4.886,5.22,5.353,4.989,4.678,4.925,5.965,6.414,6.852,7.669,7.253,6.975,7.252,6.965,7.403
47,48,Cambodia,KH,KHM,C02 Emissions Embodied in Production,ECBPDTCEVA,Millions of metric tons,3.042,3.388,3.992,4.073,4.868,5.193,5.497,5.725,5.997,6.969,8.821,,,,
48,49,Canada,CA,CAN,"C02 Emissions Embodied in Final Demand, balance",ECBPDTCEFDB,Millions of metric tons,15.543,-6.827,-1.704,-13.807,-2.814,-15.564,-14.855,-11.02,-5.915,-5.602,8.579,,,,
49,50,Canada,CA,CAN,C02 Emissions Embodied in Final Domestic Demand,ECBPDTCEFDD,Millions of metric tons,539.81,553.833,579.075,570.416,530.396,558.842,565.766,557.857,561.804,563.554,547.864,,,,
50,51,Canada,CA,CAN,C02 Emissions Embodied in Gross Exports,ECBPDTCETX,Millions of metric tons,241.932,236.182,242.071,230.394,196.653,221.666,233.538,235.245,234.937,227.589,218.811,221.596,227.5,217.86,228.321
51,52,Canada,CA,CAN,"C02 Emissions Embodied in Gross Exports, balance",ECBPDTCETB,Millions of metric tons,16.25,-6.091,-0.926,-13.198,-1.949,-14.659,-14.138,-10.245,-5.099,-4.811,9.848,2.34999999999999,8.61600000000001,-3.52399999999997,-1.755
52,53,Canada,CA,CAN,C02 Emissions Embodied in Gross Imports,ECBPDTCETM,Millions of metric tons,225.682,242.272,242.997,243.592,198.602,236.324,247.677,245.49,240.036,232.4,208.963,219.246,218.884,221.384,230.076
53,54,Canada,CA,CAN,C02 Emissions Embodied in Production,ECBPDTCEVA,Millions of metric tons,555.353,547.006,577.371,556.609,527.582,543.277,550.91,546.837,555.889,557.952,556.444,,,,
54,55,Chile,CL,CHL,"C02 Emissions Embodied in Final Demand, balance",ECBPDTCEFDB,Millions of metric tons,0.102,-1.443,0.127,-3.536,1.879,-4.528,-6.909,-10.638,-9.91,-7.648,-2.532,,,,
55,56,Chile,CL,CHL,C02 Emissions Embodied in Final Domestic Demand,ECBPDTCEFDD,Millions of metric tons,61.148,65.116,71.811,79.935,70.007,82.834,91.96,95.938,99.348,89.911,89.237,,,,
56,57,Chile,CL,CHL,C02 Emissions Embodied in Gross Exports,ECBPDTCETX,Millions of metric tons,31.595,33.583,38.533,38.162,32.773,36.506,39.828,37.152,35.997,35.599,35.48,32.519,33.463,33.151,32.858
57,58,Chile,CL,CHL,"C02 Emissions Embodied in Gross Exports, balance",ECBPDTCETB,Millions of metric tons,0.084,-1.46,0.128,-3.535,1.882,-4.517,-6.889,-10.613,-9.892,-7.628,-2.526,-4.262,-6.984,-11.775,-8.38
58,59,Chile,CL,CHL,C02 Emissions Embodied in Gross Imports,ECBPDTCETM,Millions of metric tons,31.511,35.043,38.405,41.697,30.89,41.023,46.717,47.765,45.89,43.227,38.006,36.781,40.447,44.926,41.238
59,60,Chile,CL,CHL,C02 Emissions Embodied in Production,ECBPDTCEVA,Millions of metric tons,61.251,63.673,71.938,76.399,71.886,78.306,85.052,85.3,89.437,82.263,86.705,,,,
60,61,"China, P.R.: Hong Kong",HK,HKG,"C02 Emissions Embodied in Final Demand, balance",ECBPDTCEFDB,Millions of metric tons,-12.363,-17.207,-16.838,-10.255,-8.906,-14.172,-17.863,-29.063,-35.728,-40.042,-33.91,,,,
61,62,"China, P.R.: Hong Kong",HK,HKG,C02 Emissions Embodied in Final Domestic Demand,ECBPDTCEFDD,Millions of metric tons,71.768,79.103,82.477,74.991,80.851,84.042,90.016,98.823,107.616,112.459,104.308,,,,
62,63,"China, P.R.: Hong Kong",HK,HKG,C02 Emissions Embodied in Gross Exports,ECBPDTCETX,Millions of metric tons,53.995,60.627,63.811,63.687,61.073,63.258,64.019,61.472,64.765,61.525,57.54,60.327,61.705,60.99,61.045
63,64,"China, P.R.: Hong Kong",HK,HKG,"C02 Emissions Embodied in Gross Exports, balance",ECBPDTCETB,Millions of metric tons,-11.998,-16.87,-16.53,-9.997,-8.647,-13.952,-17.653,-28.856,-35.506,-39.814,-33.578,-29.569,-28.003,-29.466,-36.406
64,65,"China, P.R.: Hong Kong",HK,HKG,C02 Emissions Embodied in Gross Imports,ECBPDTCETM,Millions of metric tons,65.994,77.497,80.341,73.685,69.72,77.21,81.672,90.328,100.271,101.339,91.118,89.896,89.708,90.456,97.451
65,66,"China, P.R.: Hong Kong",HK,HKG,C02 Emissions Embodied in Production,ECBPDTCEVA,Millions of metric tons,59.405,61.897,65.639,64.737,71.945,69.871,72.153,69.76,71.888,72.416,70.399,,,,
66,67,"China, P.R.: Mainland",CN,CHN,"C02 Emissions Embodied in Final Demand, balance",ECBPDTCEFDB,Millions of metric tons,1217.1,1492.211,1670.274,1598.624,1216.562,1430.998,1535.241,1563.304,1536.985,1480.432,1302.912,,,,
67,68,"China, P.R.: Mainland",CN,CHN,C02 Emissions Embodied in Final Domestic Demand,ECBPDTCEFDD,Millions of metric tons,4261.016,4547.829,4885.374,5160.751,6019.603,6473.786,7151.405,7372.113,7782.052,7783.586,7977.936,,,,
68,69,"China, P.R.: Mainland",CN,CHN,C02 Emissions Embodied in Gross Exports,ECBPDTCETX,Millions of metric tons,1665.382,1967.78,2193.726,2165.714,1767.864,2093.897,2329.401,2344.504,2386.143,2399.438,2190.26,2187.751,2284.418,2390.624,2212.066
69,70,"China, P.R.: Mainland",CN,CHN,"C02 Emissions Embodied in Gross Exports, balance",ECBPDTCETB,Millions of metric tons,1217.46,1492.567,1670.678,1599.072,1217.29,1431.766,1536.473,1564.816,1539.16,1483.987,1308.842,1429.306,1471.019,1487.883,1535.831
70,71,"China, P.R.: Mainland",CN,CHN,C02 Emissions Embodied in Gross Imports,ECBPDTCETM,Millions of metric tons,447.922,475.213,523.048,566.642,550.573,662.131,792.928,779.688,846.983,915.451,881.417,758.445,813.399,902.741,676.235
71,72,"China, P.R.: Mainland",CN,CHN,C02 Emissions Embodied in Production,ECBPDTCEVA,Millions of metric tons,5478.115,6040.04,6555.648,6759.375,7236.165,7904.784,8686.645,8935.418,9319.037,9264.018,9280.847,,,,
72,73,Colombia,CO,COL,"C02 Emissions Embodied in Final Demand, balance",ECBPDTCEFDB,Millions of metric tons,-7.186,-9.777,-14.149,-16.817,-9.86,-14.617,-19.778,-22.584,-20.56,-21.054,-14.623,,,,
73,74,Colombia,CO,COL,C02 Emissions Embodied in Final Domestic Demand,ECBPDTCEFDD,Millions of metric tons,63.647,66.373,71.415,75.29,71.951,78.324,89.064,92.198,99.774,103.908,97.378,,,,
74,75,Colombia,CO,COL,C02 Emissions Embodied in Gross Exports,ECBPDTCETX,Millions of metric tons,13.846,13.683,13.772,14.32,14.449,14.598,16.396,16.992,19.187,21.543,21.498,,,,
75,76,Colombia,CO,COL,"C02 Emissions Embodied in Gross Exports, balance",ECBPDTCETB,Millions of metric tons,-7.253,-9.857,-14.198,-16.846,-9.883,-14.621,-19.78,-22.569,-20.527,-21.028,-14.587,,,,
76,77,Colombia,CO,COL,C02 Emissions Embodied in Gross Imports,ECBPDTCETM,Millions of metric tons,21.099,23.539,27.97,31.166,24.331,29.218,36.176,39.561,39.714,42.571,36.086,,,,
77,78,Colombia,CO,COL,C02 Emissions Embodied in Production,ECBPDTCEVA,Millions of metric tons,56.461,56.596,57.266,58.473,62.091,63.707,69.287,69.615,79.214,82.854,82.755,,,,
78,79,Costa Rica,CR,CRI,"C02 Emissions Embodied in Final Demand, balance",ECBPDTCEFDB,Millions of metric tons,-2.771,-3.25,-3.759,-4.553,-2.942,-3.683,-4.722,-4.68,-4.63,-4.919,-5.542,,,,
79,80,Costa Rica,CR,CRI,C02 Emissions Embodied in Final Domestic Demand,ECBPDTCEFDD,Millions of metric tons,8.977,9.794,11.092,11.888,9.892,11.458,12.294,12.403,12.926,13.348,13.546,,,,
80,81,Costa Rica,CR,CRI,C02 Emissions Embodied in Gross Exports,ECBPDTCETX,Millions of metric tons,3.189,3.319,3.542,3.72,2.871,3.278,3.452,3.43,3.588,3.591,3.082,3.257,3.48,3.694,3.696
81,82,Costa Rica,CR,CRI,"C02 Emissions Embodied in Gross Exports, balance",ECBPDTCETB,Millions of metric tons,-2.784,-3.261,-3.769,-4.559,-2.952,-3.689,-4.727,-4.674,-4.622,-4.914,-5.533,-5.316,-5.327,-5.487,-5.199
82,83,Costa Rica,CR,CRI,C02 Emissions Embodied in Gross Imports,ECBPDTCETM,Millions of metric tons,5.973,6.58,7.311,8.278,5.824,6.967,8.179,8.104,8.211,8.505,8.614,8.573,8.807,9.181,8.895
83,84,Costa Rica,CR,CRI,C02 Emissions Embodied in Production,ECBPDTCEVA,Millions of metric tons,6.206,6.543,7.334,7.336,6.95,7.775,7.572,7.724,8.296,8.43,8.003,,,,
84,85,"Croatia, Rep. of",HR,HRV,"C02 Emissions Embodied in Final Demand, balance",ECBPDTCEFDB,Millions of metric tons,-5.13,-6.203,-6.049,-6.661,-4.932,-4.016,-3.657,-2.732,-3.303,-1.824,-1.856,,,,
85,86,"Croatia, Rep. of",HR,HRV,C02 Emissions Embodied in Final Domestic Demand,ECBPDTCEFDD,Millions of metric tons,24.431,25.71,26.969,26.763,23.731,22.403,21.277,19.014,19.095,16.877,17.126,,,,
86,87,"Croatia, Rep. of",HR,HRV,C02 Emissions Embodied in Gross Exports,ECBPDTCETX,Millions of metric tons,6.323,6.588,6.762,6.52,5.333,5.921,5.825,5.262,5.589,5.575,5.407,5.253,5.452,5.701,5.618
87,88,"Croatia, Rep. of",HR,HRV,"C02 Emissions Embodied in Gross Exports, balance",ECBPDTCETB,Millions of metric tons,-5.565,-6.468,-6.405,-6.753,-5.284,-4.082,-3.717,-2.779,-3.345,-1.85,-1.911,-3.098,-2.008,-0.835,-1.066
88,89,"Croatia, Rep. of",HR,HRV,C02 Emissions Embodied in Gross Imports,ECBPDTCETM,Millions of metric tons,11.888,13.056,13.167,13.273,10.617,10.002,9.542,8.042,8.934,7.425,7.318,8.351,7.46,6.536,6.684
89,90,"Croatia, Rep. of",HR,HRV,C02 Emissions Embodied in Production,ECBPDTCEVA,Millions of metric tons,19.301,19.507,20.92,20.102,18.799,18.387,17.62,16.283,15.792,15.052,15.269,,,,
90,91,Cyprus,CY,CYP,"C02 Emissions Embodied in Final Demand, balance",ECBPDTCEFDB,Millions of metric tons,-0.565,-0.657,-0.715,-3.709,-2.487,-1.386,-0.884,-0.417,-0.446,-0.612,-0.605,,,,
91,92,Cyprus,CY,CYP,C02 Emissions Embodied in Final Domestic Demand,ECBPDTCEFDD,Millions of metric tons,10.936,11.268,11.968,11.618,10.521,10.899,9.959,9.196,7.979,7.936,7.929,,,,
92,93,Cyprus,CY,CYP,C02 Emissions Embodied in Gross Exports,ECBPDTCETX,Millions of metric tons,4.754,4.89,5.401,3.95,3.794,4.651,4.554,4.537,4.455,4.501,4.433,4.924,4.459,4.317,4.342
93,94,Cyprus,CY,CYP,"C02 Emissions Embodied in Gross Exports, balance",ECBPDTCETB,Millions of metric tons,-0.478,-0.58,-0.606,-3.639,-2.417,-1.338,-0.837,-0.375,-0.404,-0.574,-0.567,1.422,-1.616,-2.729,-2.305
94,95,Cyprus,CY,CYP,C02 Emissions Embodied in Gross Imports,ECBPDTCETM,Millions of metric tons,5.232,5.47,6.006,7.589,6.21,5.988,5.392,4.912,4.859,5.076,5.0,3.502,6.075,7.046,6.647
95,96,Cyprus,CY,CYP,C02 Emissions Embodied in Production,ECBPDTCEVA,Millions of metric tons,10.371,10.611,11.253,7.909,8.033,9.513,9.075,8.779,7.534,7.324,7.325,,,,
96,97,Czech Rep.,CZ,CZE,"C02 Emissions Embodied in Final Demand, balance",ECBPDTCEFDB,Millions of metric tons,13.563,11.912,10.578,5.413,7.504,3.107,2.243,7.131,5.564,5.412,7.427,,,,
97,98,Czech Rep.,CZ,CZE,C02 Emissions Embodied in Final Domestic Demand,ECBPDTCEFDD,Millions of metric tons,104.715,106.913,111.236,111.365,102.034,109.28,107.386,98.881,95.808,93.444,91.848,,,,
98,99,Czech Rep.,CZ,CZE,C02 Emissions Embodied in Gross Exports,ECBPDTCETX,Millions of metric tons,60.262,65.824,69.523,67.764,57.514,62.044,66.481,65.448,61.679,61.906,62.084,59.79,61.517,62.383,64.72
99,100,Czech Rep.,CZ,CZE,"C02 Emissions Embodied in Gross Exports, balance",ECBPDTCETB,Millions of metric tons,13.321,11.619,10.323,5.203,7.285,2.89,2.037,6.942,5.392,5.254,7.282,8.66,4.90900000000001,0.835000000000001,2.785
100,101,Czech Rep.,CZ,CZE,C02 Emissions Embodied in Gross Imports,ECBPDTCETM,Millions of metric tons,46.941,54.205,59.2,62.56,50.229,59.154,64.444,58.506,56.288,56.652,54.802,51.13,56.608,61.548,61.935
101,102,Czech Rep.,CZ,CZE,C02 Emissions Embodied in Production,ECBPDTCEVA,Millions of metric tons,118.277,118.825,121.815,116.778,109.538,112.387,109.63,106.013,101.372,98.856,99.275,,,,
102,103,Denmark,DK,DNK,"C02 Emissions Embodied in Final Demand, balance",ECBPDTCEFDB,Millions of metric tons,7.033,15.683,15.617,15.54,2.625,10.467,13.265,13.058,7.841,4.271,5.529,,,,
103,104,Denmark,DK,DNK,C02 Emissions Embodied in Final Domestic Demand,ECBPDTCEFDD,Millions of metric tons,78.678,90.926,88.523,86.768,78.4,74.771,72.233,64.669,66.926,62.631,59.383,,,,
104,105,Denmark,DK,DNK,C02 Emissions Embodied in Gross Exports,ECBPDTCETX,Millions of metric tons,60.055,78.002,80.823,86.2,58.018,63.79,69.211,64.655,61.915,58.422,57.065,54.295,52.676,53.306,44.366
105,106,Denmark,DK,DNK,"C02 Emissions Embodied in Gross Exports, balance",ECBPDTCETB,Millions of metric tons,7.091,15.722,15.662,15.62,2.728,10.545,13.338,13.141,7.929,4.342,5.603,4.308,2.291,-3.853,-12.513
106,107,Denmark,DK,DNK,C02 Emissions Embodied in Gross Imports,ECBPDTCETM,Millions of metric tons,52.965,62.279,65.16,70.58,55.289,53.245,55.873,51.514,53.986,54.079,51.462,49.987,50.385,57.159,56.879
107,108,Denmark,DK,DNK,C02 Emissions Embodied in Production,ECBPDTCEVA,Millions of metric tons,85.711,106.609,104.14,102.308,81.025,85.238,85.498,77.728,74.767,66.902,64.912,,,,
108,109,"Estonia, Rep. of",EE,EST,"C02 Emissions Embodied in Final Demand, balance",ECBPDTCEFDB,Millions of metric tons,1.279,0.111,2.187,1.521,2.453,4.277,3.441,2.597,3.543,2.893,2.311,,,,
109,110,"Estonia, Rep. of",EE,EST,C02 Emissions Embodied in Final Domestic Demand,ECBPDTCEFDD,Millions of metric tons,15.206,15.321,17.591,16.473,12.757,14.754,14.435,14.088,15.476,14.749,13.291,,,,
110,111,"Estonia, Rep. of",EE,EST,C02 Emissions Embodied in Gross Exports,ECBPDTCETX,Millions of metric tons,7.503,7.278,9.888,8.707,7.188,10.026,10.555,9.59,10.664,9.882,8.703,9.036,9.829,11.035,10.663
111,112,"Estonia, Rep. of",EE,EST,"C02 Emissions Embodied in Gross Exports, balance",ECBPDTCETB,Millions of metric tons,1.275,0.116,2.197,1.53,2.459,4.281,3.443,2.598,3.546,2.9,2.32,2.97,3.31,3.977,3.611
112,113,"Estonia, Rep. of",EE,EST,C02 Emissions Embodied in Gross Imports,ECBPDTCETM,Millions of metric tons,6.228,7.163,7.691,7.177,4.729,5.745,7.112,6.992,7.117,6.982,6.382,6.066,6.519,7.058,7.052
113,114,"Estonia, Rep. of",EE,EST,C02 Emissions Embodied in Production,ECBPDTCEVA,Millions of metric tons,16.485,15.432,19.778,17.994,15.209,19.031,17.877,16.685,19.019,17.642,15.602,,,,
114,115,Finland,FI,FIN,"C02 Emissions Embodied in Final Demand, balance",ECBPDTCEFDB,Millions of metric tons,-6.942,-2.475,-3.555,-7.18,-7.634,-2.663,-4.645,-6.559,-5.543,-7.585,-7.043,,,,
115,116,Finland,FI,FIN,C02 Emissions Embodied in Final Domestic Demand,ECBPDTCEFDD,Millions of metric tons,65.406,73.113,73.064,66.259,64.212,68.089,63.172,58.24,58.446,55.964,52.286,,,,
116,117,Finland,FI,FIN,C02 Emissions Embodied in Gross Exports,ECBPDTCETX,Millions of metric tons,39.079,47.699,48.298,42.982,32.251,39.011,36.725,32.237,32.344,28.263,25.031,24.462,25.732,26.253,27.301
117,118,Finland,FI,FIN,"C02 Emissions Embodied in Gross Exports, balance",ECBPDTCETB,Millions of metric tons,-6.939,-2.475,-3.554,-7.166,-7.596,-2.65,-4.636,-6.552,-5.527,-7.56,-6.964,-9.121,-14.019,-19.474,-17.082
118,119,Finland,FI,FIN,C02 Emissions Embodied in Gross Imports,ECBPDTCETM,Millions of metric tons,46.018,50.173,51.852,50.148,39.847,41.661,41.36,38.789,37.871,35.823,31.995,33.583,39.751,45.727,44.383
119,120,Finland,FI,FIN,C02 Emissions Embodied in Production,ECBPDTCEVA,Millions of metric tons,58.464,70.638,69.509,59.08,56.578,65.426,58.527,51.68,52.903,48.379,45.243,,,,
